799889580001962TAVG-9999   -9999   -9999   -9999    -320  f -880  f-1030  f -930  f -930  f -360  f -320  f  -40  f
799889580001963TAVG    0  f   30  f -360  f -740  f -560  f -780  f-1030  f-1900  f-1050  f -880  f -250  f   80  f
799889580001964TAVG  100  f    0  f -240  f -770  f -940  f-1170  f -600  f-2010  f -970  f -320  f -110  f    0  f
799889580001965TAVG   90  f   70  f  110  f -330  f -390  f -740  f-1300  f-1220  f -570  f -890  f -210  f  -80  f
799889580001966TAVG   20  f  -30  f -180  f -570  f -610  f -880  f-1600  f-1200  f-1040  f -670  f -210  f  -60  f
799889580001967TAVG    0  f -200  f -150  f -280  f -860  f -800  f -820  f -860  f -990  f -750  f -380  f    0  f
799889580001968TAVG    0  f  -70  f -150  f -150  f -540  f-1070  f -820  f-1320  f-1240  f -560  f -330  f  -20  f
799889580001969TAVG   30  f  -80  f -500  f -640  f-1230  f-1820  f-1570  f-1100  f -590  f -890  f -360  f   60  f
799889580001970TAVG  -20  f  -80  f -200  f -840  f -850  f -890  f -520  f-1110  f -370  f -240  f  -60  f   80  f
799889580001971TAVG  160  f   30  f  -20  f -200  f -520  f -320  f -580  f -690  f -560  f -250  f -150  f   70  f
799889580001972TAVG  210  f  120  f  -60  f -270  f -370  f -700  f -520  f-1050  f -590  f -400  f -230  f   60  f
799889580001973TAVG  -80  f  -20  f -200  f -650  f -840  f-1000  f -870  f -640  f -710  f -410  f -150  f   30  f
799889580001974TAVG  100  f  130  f   50  f -380  f -510  f -350  f -800  f -760  f -930  f -280  f -110  f  110  f
799890570002010TAVG-9999   -9999     -10  f -250  f -250  f -220  f -420  f -440  f-9999   -9999      40  f-9999   
799890570002011TAVG  120  f  240  f-9999    -420  f -300  f -670  f -900  f -790  f -640  f -170  f-9999   -9999   
799890570002012TAVG  200  f  140  f  110  f -400  f -250  f -650  f -460  f -440  f -520  f -320  f -150  f    0  f
799890570002013TAVG  150  f  180  f  150  f  100  f -330  f -360  f -610  f -800  f -510  f -220  f -140  f  -30  f
799890570002014TAVG   70  f   50  f  -40  f -100  f -280  f -410  f -310  f-9999   -9999   -9999   -9999   -9999   
799895240001987TAVG-9999   -1210  f-1490  f-1980  f-2300  f-2330  f-2550  f-2730  f-2640  f-2150  f-1330  f -860  f
799895240001988TAVG -730  f-1240  f-1470  f-2300  f-2200  f-1920  f-2550  f-2410  f-2330  f-1940  f-1550  f -970  f
799895240001989TAVG -920  f-1150  f-1700  f-1960  f-2920  f-2430  f-2350  f-2490  f-2730  f-1910  f-1370  f -770  f
799895240001990TAVG -810  f-1250  f-1590  f-1940  f-2290  f-2350  f-1950  f-2770  f-2770  f-1870  f-1360  f -820  f
799895240001991TAVG -860  f-1070  f-1730  f-2150  f-2120  f-2100  f-2200  f-2430  f-2380  f-2250  f-1430  f-9999   
799899670001955TAVG-9999   -1250  f-1940  f-2360  f-3270  f-2820  f-3060  f-2280  f-3590  f-1880  f -890  f -540  f
799899670001956TAVG -550  f-1220  f-2230  f-2750  f-3880  f-2870  f-3290  f-3360  f-2800  f-2230  f -950  f -380  f
799899670001957TAVG -800  f-1130  f-2040  f-2200  f-2660  f-3170  f-3320  f-3860  f-2770  f-2480  f-1280  f -620  f
799899670001958TAVG -800  f-1660  f-2360  f-2920  f-3380  f-3200  f-3320  f-3340  f-2800  f-2060  f-1380  f-1020  f
